job_id,head,relation,tail
3906094536,protos security,classified_as,security officer management company
3885106274,manufacturing engineering intern,requires,2d and 3d cad software design tools
3885106274,manufacturing engineering intern,requires,me & ie skill sets
3885106274,manufacturing engineering intern,requires,microsoft office products
3902352589,extraction technician,requires,short path distillation
3889276830,registered nurse,requires,eighteen months of recent experience in an acute care med/surg setting
3889276830,med-surg registered nurse,related_to,provide care for primarily adult patients before and after surgical procedures
3894548378,child life specialist,requires,education
3894548378,child life specialist,requires,collaboration
3894548378,child life specialist,requires,assessment
3894548378,child life specialist,requires,evaluation
3894548378,child life specialist,related_to,education for staff
3894548378,child life specialist,related_to,orientation
3894548378,child life specialist,related_to,training
3894548378,child life specialist,related_to,supervision
3894548378,child life specialist,related_to,process improvement initiatives
3894548378,child life specialist,related_to,shared decision making
3886486078,security systems installer/programmer,requires,access control security systems
3886486078,security systems installer/programmer,requires,data and fiber optics horizontal cabling systems
3886486078,experienced field service technician,requires,fiber optic cabling experience
3889756599,technology investment banking analyst,requires,business development
3889756599,technology investment banking analyst,requires,public and private financings
3889756599,technology investment banking analyst,requires,superior written and oral communications skills
3889756599,technology investment banking analyst,requires,highly proficient financial analysis and modeling skills
3889756599,technology investment banking analyst,requires,microsoft excel and powerpoint
3889756599,technology investment banking analyst,requires,prioritize assignments while multi-tasking
3889756599,technology investment banking analyst,requires,excellent attention to detail
3905379287,baader technician assistant,requires,electrical systems maintenance
3905379287,baader technician assistant,requires,clock maintenance
3905379287,baader technician assistant,requires,generators maintenance
3905379287,baader technician assistant,requires,belt drives maintenance
3891017672,inside sales representative,related_to,direct customers
3891017672,inside sales representative,related_to,direct sales manager
3891017672,inside sales representative,related_to,direct sales team
3891017672,inside sales representative,classified_as,entry level sales position
3902342298,field sales representative,related_to,long term care facilities
3902342298,field sales representative,related_to,wound care
3902342298,field sales representative,related_to,senior care
3902342298,field sales representative,related_to,urology
3902342298,field sales representative,related_to,dermatology
3902342298,field sales representative,related_to,podiatry
3902342298,field sales representative,related_to,internal medicine
3902342298,field sales representative,related_to,infectious disease
3890897213,administrative assistant,requires,microsoft office suite
3901667913,business analyst,requires,microsoft azure devops
3901667913,business analyst,classified_as,remote
3903844247,marketing associate,requires,bachelor's degree in marketing or related field
3891291088,associate team leader,requires,customer service experience
3891291088,associate team leader,requires,ms office
3891291088,associate team leader,requires,flexible work schedule
3904962827,onsite maintenance technician,requires,av equipment cleaning
3904962827,onsite maintenance technician,requires,local safety standards
3901958239,driver,requires,safe driving guidelines and policies
3901958239,driver,requires,company safe driving standards
3885822256,commercial insurance select business broking specialist,requires,hybrid
3885822256,commercial insurance select business broking specialist,requires,remote
3885822256,commercial insurance select business broking specialist,requires,cst or est time zone schedule
3904948227,cloud engineer,requires,java
3903443604,ruby developer,requires,software development
3903443604,ruby developer,requires,test-driven development
3903443604,ruby developer,requires,programming
3903443604,ruby developer,requires,ruby programming language
3900980572,technical recruiter iii,requires,5+ years of full-cycle recruiting experience
3900980572,technical recruiter iii,related_to,engineering
3900980572,technical recruiter iii,related_to,manufacturing
3905255940,human resources generalist,requires,recruiting
3905255940,human resources generalist,requires,talent development
3905255940,human resources generalist,related_to,compliance
3905255940,human resources generalist,related_to,efficiency
3905255940,human resources generalist,classified_as,office setting
3898165123,technical developer,requires,bachelors degree in computer science
3898165123,technical developer,requires,information systems
3898165123,technical developer,requires,higher education field
3898165123,technical developer,requires,client-facing experience
3898165123,technical developer,requires,ability to work independently
3898165123,technical developer,requires,ability to work in a team environment
3884443062,land acquisitions agent,requires,negotiation for acquisition of real property
3884443062,land acquisitions agent,requires,ensure schedule and budget performance
3894208996,estate administrator,requires,estimates value
3894208996,estate administrator,requires,collects assets
3894208996,estate administrator,requires,arranges payment
3894208996,estate administrator,requires,prepares federal estate tax returns
3894208996,estate administrator,requires,prepares massachusetts estate tax returns
3894208996,estate administrator,requires,prepares other state estate tax returns
3894208996,estate administrator,requires,prepares and files probate forms
3894208996,estate administrator,requires,reports to estate & trust administration manager
3895546114,behavioral health associate i,requires,nursing supervision
3895546114,behavioral health associate i,requires,patient monitoring
3895546114,behavioral health associate i,requires,patient care
3895546114,behavioral health associate i,requires,patient data collection
3895546114,behavioral health associate i,requires,patient interaction
3895546114,behavioral health associate i,requires,patient safety checks
3895546114,behavioral health associate i,requires,patient activities
3895546114,behavioral health associate i,requires,vital signs taking
3895546114,behavioral health associate i,requires,patient condition communication
3895546114,behavioral health associate i,requires,charting
3895546114,behavioral health associate i,requires,de-escalation techniques
3895546114,behavioral health associate i,requires,unit cleaning
3889750259,registered nurse,related_to,geriatric nursing
3895524590,resident,requires,teaching_responsibility
3885832273,account executive,requires,negotiate
3902748498,creative director,requires,creative strategy
3902748498,creative director,requires,direct mail
3902748498,creative director,requires,social
3902748498,creative director,requires,presentation
3902748498,creative director,requires,field-marketing
3901950810,manufacturing engineer,requires,cost estimates
3901950810,manufacturing engineer,requires,work leadership
3901950810,manufacturing engineer,requires,space requirements planning
3901950810,manufacturing engineer,requires,workflow planning
3901950810,manufacturing engineer,requires,capital project management
3901950810,manufacturing engineer,requires,contractor coordination
3901950810,manufacturing engineer,requires,product specifications evaluation
3901950810,manufacturing engineer,requires,hazardous waste disposal evaluation
3901950810,manufacturing engineer,requires,statistical methods application
3906089341,catering and events director,requires,event_management
3906089341,catering and events director,requires,client_relationship_management
3906089341,catering and events director,requires,sales
3905329272,rn icu,requires,nursing experience
3898173908,rolloff driver - class a cdl,requires,truck driving
3898173908,rolloff driver - class a cdl,requires,excellent communication skills
3898173908,rolloff driver - class a cdl,requires,customer service skills
3898173908,rolloff driver - class a cdl,requires,ability to lift heavy objects
3898173908,rolloff driver - class a cdl,requires,basic knowledge of safety procedures
3898173908,rolloff driver - class a cdl,requires,valid driver's license
3905299722,field service technician,requires,telecommunications products and equipment
3905299722,field service technician,requires,troubleshooting
3905299722,field service technician,requires,repairs
3905299722,field service technician,requires,maintenance
3905299722,field service technician,requires,"direct, face-to-face contact with customers"
3905299722,field service technician,requires,proactive with sales of tds services and products
3905299722,field service technician,requires,seeks sales opportunities while educating the customer
3901352246,tax manager,related_to,environment where your work is noticed
3901352246,tax manager,requires,variety of general accounting tasks
3901352246,tax manager,requires,review of individual and business tax returns
3901352246,tax manager,requires,various financial reporting
3901352246,tax manager,requires,quarterly payroll
3901352246,tax manager,requires,sales tax returns
3901352246,tax return preparation & review,requires,"oversee the preparation and serve as the reviewer for federal, state, and local tax returns"
3891253364,truck driver,requires,driving experience
3895249865,global organic mobile acquisition associate manager,requires,3+ years of work experience in digital marketing
3895249865,global organic mobile acquisition associate manager,requires,experience using content management systems
3895249865,global organic mobile acquisition associate manager,related_to,android platform
3898134819,2nd press operator,requires,offset printing press experience
3898134819,2nd press operator,requires,attention to detail
3898134819,2nd press operator,requires,communication skills
3898134819,2nd press operator,requires,"ability to work in a hot, cold, dusty and noisy industrial environment"
3898134819,2nd press operator,requires,"ability to wear necessary personal protective equipment (safety glasses, ear plugs, hair nets, steel-toed boots, etc.)"
3898134819,2nd press operator,requires,ability to maintain strict adherence to safety rules and regulations
3902372137,accounting clerk,requires,excel
3902372137,accounting clerk,related_to,financial processes
3902352793,project manager,requires,educational assistance
3902352793,project manager,requires,leadership and technical development academies
3902352793,project manager,related_to,technology and innovation
3902352793,project manager,related_to,innovative solutions
3902352793,project manager,related_to,biggest challenges in healthcare
3885857809,nursing assistant,requires,infection prevention and control policies
3885857809,nursing assistant,requires,personal protective equipment use
3885857809,nursing assistant,related_to,registered nurse
3885857809,nursing assistant,related_to,long term care
3885857809,nursing assistant,related_to,care plan
3885857809,nursing assistant,related_to,transfer techniques and equipment
3885857809,nursing assistant,related_to,range of motion exercises
3885857809,nursing assistant,related_to,food preparation and dining
3885857809,nursing assistant,related_to,meals and snacks
3885857809,nursing assistant,related_to,procedures
3889439284,customer service associate,requires,validating loading tickets
3889439284,customer service associate,requires,processing orders and deliveries accurately
3889439284,customer service associate,requires,engaging in safe work practices
3901940870,fleet manager,requires,licensing
3901940870,fleet manager,requires,customer communication
3901940870,fleet manager,requires,equipment accounting
3901940870,fleet manager,requires,task categorization
3901940870,fleet manager,requires,company system recording
3901940870,fleet manager,requires,operational plan changes coordination
3903802602,data analyst strategist and technology engineer,requires,sql
3903802602,data analyst strategist and technology engineer,requires,python
3903802602,data analyst strategist and technology engineer,requires,r
3884896065,surgical scheduler,requires,knowledge of medical terminology
3903485889,delivery truck driver,related_to,warehouse operations and logistics
3903485889,delivery truck driver,related_to,shipping
3903485889,delivery truck driver,classified_as,good communication and customer service skills
3903485889,delivery truck driver,classified_as,general digital literacy
3887855568,ct technologist,requires,ability to work independently as well as in a team environment.
3887855568,ct technologist,related_to,ct equipment
3887855568,ct technologist,related_to,ct scans
3887855568,ct technologist,related_to,patients
3887855568,ct technologist,related_to,immobilization and protective equipment
3887855568,ct technologist,related_to,ct equipment controls
3887855568,ct technologist,related_to,contrast
3887855568,ct technologist,related_to,oral contrast
3887855568,ct technologist,related_to,ct scan images
3887855568,ct technologist,related_to,patient record
3887855568,ct technologist,related_to,power injections for contrast media administration
3887855568,ct technologist,related_to,patient care
3904391422,communications & public relations specialist,related_to,media relations
3904391422,communications & public relations specialist,related_to,internal communications
3904391422,communications & public relations specialist,related_to,media scheduling
3904391422,communications & public relations specialist,related_to,interviews
3904391422,communications & public relations specialist,related_to,press events
3904391422,communications & public relations specialist,related_to,presentations
3905340100,medical assistant,related_to,registered nurse
3905340100,medical assistant,related_to,advanced practice clinician
3905340100,medical assistant,related_to,healthcare leadership
3905340100,medical assistant,requires,communication skills
3905340100,medical assistant,requires,attention to detail
3885808394,registered nurse,requires,therapeutic communication
3885808394,registered nurse,requires,teamwork
3885808394,registered nurse,requires,collaboration
3885808394,registered nurse,requires,guidance
3904938888,property accountant,requires,paperless accounting system
3903817754,applications engineer,requires,autocad (2d)
3903817754,applications engineer,requires,sketchup or other 3d design software
3898158637,c++ developer,requires,ios and android internals
3898158637,c++ developer,related_to,wireshark
3898158637,c++ developer,related_to,charles proxy
3904727265,speech language pathologist,requires,master’s level program in speech language pathology
3904724157,retail guest experience specialist,requires,world class customer service
3904724157,retail guest experience specialist,requires,enjoyable shopping experience
3901696623,administrative assistant,requires,purchase order systems
3901696623,administrative assistant,requires,market research operational systems
3901696623,administrative assistant,related_to,computer systems
3905394585,behavior technician,requires,passionate about helping children with autism
3905394585,behavior technician,requires,"cpr, first aid certification"
3901496931,capital markets pm,requires,project management
3901496931,capital markets pm,related_to,program management
3901496931,capital markets pm,requires,communication skills
3901496931,capital markets pm,requires,risk management skills
3901496931,capital markets pm,requires,change management skills
3901496931,capital markets pm,related_to,regulatory project management
3900941678,regional sales manager,requires,sales distribution
3900941678,regional sales manager,requires,solid carbide tools
3900941678,regional sales manager,requires,competitor products and positioning
3902743937,"coordinator, rx monitoring",related_to,pharmacy operations
3902743937,"coordinator, rx monitoring",related_to,information services
3902793986,senior bioinformatics programmer,requires,precision medicine
3902793986,senior bioinformatics programmer,related_to,computational pipelines
3900076738,supply chain analyst,requires,sap
3901937315,frontend developer,requires,python
3901937315,frontend developer,requires,javascript
3901937315,frontend developer,requires,c++
3901937315,frontend developer,requires,c#
3901937315,frontend developer,requires,sql
3901351032,executive assistant,related_to,scheduling and planning
3901351032,executive assistant,related_to,meeting organization
3901351032,executive assistant,related_to,communication
3894918029,director of quality control,requires,quality control
3894918029,director of quality control,related_to,quality assurance practices
3894918029,director of quality control,related_to,quality control practices
3894918029,director of quality control,related_to,quality control reviews
3894918029,director of quality control,related_to,quality control influence team
3905326818,assistant branch manager,requires,customer oriented
3905326818,assistant branch manager,requires,credit loan applications
3905326818,assistant branch manager,requires,product knowledge
3905326818,assistant branch manager,requires,exceptional service
3905326818,assistant branch manager,requires,cash handling
3905326818,assistant branch manager,requires,delinquent debt collection
3895815321,ai enthusiast software engineers,requires,participation in interview panels
3899530316,senior test development engineer,requires,test automation frameworks
3899530316,senior test development engineer,requires,puppeteer
3899530316,senior test development engineer,requires,playwright/karate
3899530316,senior test development engineer,requires,devops experience using jenkins
3899530316,senior test development engineer,requires,mock frameworks
3899530316,senior test development engineer,requires,service virtualization
3894893387,senior business account executive 3,related_to,small and mid-size businesses
3894893387,senior business account executive 3,related_to,multi-location opportunities
3894893387,senior business account executive 3,related_to,bundled products
3894893387,senior business account executive 3,related_to,customer satisfaction
3894893387,senior business account executive 3,related_to,new acquisition sales
3894893387,senior business account executive 3,related_to,small and mid-size businesses
3894560863,software developer,requires,cobol
3894560863,software developer,requires,python
3894560863,software developer,requires,sql
3887996321,iam operations support admin,requires,administer identity lifecycle management processes
3887996321,iam operations support admin,requires,evaluate business impact and risk exposure
3887996321,iam operations support admin,requires,maintain understanding of business processes
3887996321,iam operations support admin,requires,develop and maintain documentation
3887996321,iam operations support admin,requires,provide technical guidance and mentorship
3887996321,aws identity authentication,requires,provisioning accounts and account set-up
3887996321,iam operations support admin,requires,non-human access management requests and support
3885112185,tax project manager,requires,project manager
3885112185,tax project manager,requires,tax
3885112185,tax project manager,requires,global tax rules
3885112185,tax project manager,related_to,sap
3901671884,building management systems engineer,requires,programming
3901671884,building management systems engineer,requires,automation
3901671884,building management systems engineer,requires,control devices
3901671884,niagara platform,related_to,programming
3904386845,executive assistant,requires,meeting_organization
3904987909,junior software engineer,requires,computer science fundamentals
3904987909,software engineer,related_to,collaborate with senior engineers
3904987909,software engineer,related_to,participate in code reviews and provide constructive feedback
3905834120,devops engineer,requires,windows
3905834120,devops engineer,requires,strong written and verbal skills in english
3905834120,devops engineer,requires,ability to communicate effectively
3905834120,devops engineer,requires,"strong preference for the completion of a major in it, mis or computer science"
3905834120,ansible,related_to,devops engineer
3905834120,chef,related_to,devops engineer
3905834120,puppet,related_to,devops engineer
3905834120,vagrant,related_to,devops engineer
3905834120,docker,related_to,devops engineer
3905834120,kubernetes,related_to,devops engineer
3905834120,bash,related_to,devops engineer
3905834120,js,related_to,devops engineer
3884926210,nurse clinical/ukhc,requires,temporary work permit ( twp )
3884926210,nurse clinical/ukhc,related_to,diagnostic radiology
3898170495,mobile engineer,requires,native android
3902326073,assistant deli bakery manager,requires,leadership
3902326073,assistant deli bakery manager,requires,motivation
3902326073,assistant deli bakery manager,requires,communication skills
3902326073,assistant deli bakery manager,requires,customer service skills
3902326073,assistant deli bakery manager,requires,financial analysis skills
3902326073,assistant deli bakery manager,requires,product knowledge
3902326073,assistant deli bakery manager,related_to,brand strategy and culture
3902326073,assistant deli bakery manager,related_to,scheduling
3902326073,assistant deli bakery manager,related_to,productivity
3902326073,assistant deli bakery manager,related_to,business information systems
3902326073,assistant deli bakery manager,classified_as,store operations manager
3900964362,director of sales,requires,strong business communication and presentation skills
3901684605,inside sales representative,requires,process customer orders
3901684605,inside sales representative,requires,"resolve questions & service issues for customers via phone, email & text"
3901684605,inside sales representative,requires,prepare customer quotes
3901684605,inside sales representative,requires,analyze customers to determine opportunities for new sales
3901684605,inside sales representative,requires,sell new products through up-selling and cross-selling
3905683727,stocking 2 coach,requires,leadership
3905683727,stocking 2 coach,requires,communication skills
3905683727,stocking 2 coach,requires,customer service skills
3905683727,stocking 2 coach,requires,financial management skills
3905683727,stocking 2 coach,requires,budgeting skills
3887721181,clinic patient accounts rep,requires,computer literacy
3887721181,clinic patient accounts rep,requires,insurance practices
3887721181,clinic patient accounts rep,requires,general office operations
3887721181,clinic patient accounts rep,related_to,accounting
3887721181,clinic patient accounts rep,related_to,insurance practices
3887721181,clinic patient accounts rep,related_to,general office operations
3888490345,engineer ii,requires,entrepreneurial spirit
3888490345,engineer ii,requires,"culture of equity, diversity and inclusion"
3888490345,engineer ii,requires,technical and professional development programs
3888490345,engineer ii,requires,development resources
3887896252,veterinary technician,related_to,animal_hospital
3887896252,veterinary technician,related_to,patient_samples
3887896252,veterinary technician,related_to,anesthesia_cases
3887896252,veterinary technician,related_to,surgical_procedures
3887896252,veterinary technician,related_to,patient_care
3887896252,veterinary technician,related_to,client_communication
3905854080,clinical veterinarian,requires,license to practice veterinary medicine in a us state
3899527215,behavioral therapist,related_to,new jersey substance abuse monitoring system (njsams)
3906253998,business center lead,requires,ability to lead and motivate self and others
3903474862,hris analyst (mid-level),requires,workday recruiting configuration
3903474862,hris analyst (mid-level),related_to,collaborates with management in enhancing the hr infrastructure
3903474862,hris analyst (mid-level),related_to,assesses overall project and operational risk
3903474862,hris analyst (mid-level),related_to,develops mitigation plans
3903474862,hris analyst (mid-level),related_to,coordinates and facilitates working teams
3899534592,financial planning and analysis associate,requires,financial analysis
3899534592,financial planning and analysis associate,requires,data analysis
3899534592,financial planning and analysis associate,requires,budgeting
3899534592,financial planning and analysis associate,requires,forecasting
3899534592,financial planning and analysis associate,requires,planning
3904961382,channel manager,requires,administrative sales
3904961382,channel manager,requires,channel management support
3904961382,channel performance management,requires,collection
3904961382,channel governance,requires,channel partner contract administration
3904961382,channel governance,requires,issuing new agreements
3904961382,channel governance,requires,on-boarding new accounts
3906251475,tax manager,related_to,proactive tax savings and profitability suggestions
3906251475,tax manager,related_to,analysis of tax implications on investments
3906251475,tax manager,related_to,offers in compromise
3906251475,tax manager,related_to,advice relating to merger and acquisitions
3889737868,home care occupational therapist ot,requires,bachelor’s degree in occupational therapy
3906233162,manufacturing technician,requires,shift schedule
3906233162,manufacturing technician,requires,clean room environment
3906233162,manufacturing technician,requires,"compliance with regulatory requirements, cgmps, policy documents, and sops"
3906233162,manufacturing technician,requires,general tasks as assigned by management
3901357170,web developer,requires,python
3901357170,web developer,requires,javascript
3901357170,web developer,requires,c++
3901357170,web developer,requires,c#
3901357170,web developer,requires,sql
3901358468,news media desk coordinator,requires,video converters
3901358468,news media desk coordinator,requires,excellent communication skills
3901358468,avid media composer,related_to,basic video editing
3902914683,retail sales associate,requires,macy’s merchandise and services
3902914683,retail sales associate,requires,macy's sales systems
3902914683,retail sales associate,related_to,macy's loyalty programs
3887878015,assistant property manager,requires,one year experience in a customer service related to property management
3887721401,information security analyst,requires,cyber security program
3887721401,information security analyst,requires,social engineering attempts
3887721401,information security analyst,requires,security incidents
3887721401,information security analyst,requires,incident response team
3887721401,information security analyst,requires,information security strategy
3887721401,information security analyst,requires,"security policies, procedures, and processes"
3906259479,bartender/mixologist,requires,basic writing
3906259479,bartender/mixologist,requires,math skills
3906259479,bartender/mixologist,requires,ability to maintain facility cleanliness
3884809136,plant controller,requires,cost_general_accounting_auditing_expertise
3887873757,benefits consultant,requires,workday payroll
3887873757,benefits consultant,requires,benefits
3887873757,benefits consultant,requires,reporting
3887482152,specialty representative,requires,sales performance
3887482152,specialty representative,requires,pre-call plan objectives
3887482152,specialty representative,requires,post-call evaluation
3887482152,specialty representative,requires,customer needs understanding
3904426878,health program administrator 1,requires,experience in the public health system
3904426878,health program administrator 1,requires,1 year experience working with government agencies
3904426878,health program administrator 1,related_to,child and adolescent mental health
3904426878,health program administrator 1,related_to,program operations
3905290863,analytical chemist,requires,chemistry
3903801667,sr. advanced control & optimization engineer,requires,engineering
3903801667,sr. advanced control & optimization engineer,requires,valid driver's license
3894563105,billing/revenue specialist,requires,accurate project setup information
3894563105,billing/revenue specialist,related_to,timely billings and collections
3894563105,billing/revenue specialist,related_to,accurate collections
3902344827,chief development officer,requires,entrepreneurial
3902344827,chief development officer,requires,exceptional interpersonal and communications skills
3902354503,oracle database administrator,requires,oracle
3902354503,oracle database administrator,requires,shell scripts or ansible
3902354503,oracle database administrator,requires,cloud development
3902354503,oracle,related_to,aurora postgres
3902750766,functional screen specialist,requires,internet-based program
3902750766,functional screen specialist,related_to,member rights
3903454621,certified medication aide,requires,administration of medications
3903454621,certified medication aide,requires,ensure safe storage
3904967019,orthopedic surgeon,requires,general orthopedic surgery/joint replacement
3904967019,orthopedic surgeon,related_to,altru health system
3904967019,surgery team,requires,2 orthopedic surgeons
3904967019,surgery team,requires,2 orthopedic trauma surgeons
3904942587,material handler,requires,enterprise resource planning (erp) system
3904942587,material handler,related_to,physical inventory
3904991285,program mentor,requires,specialized program content and career expertise
3906254206,lvn,requires,computer experience
3906254206,lvn,requires,windows based computer skills
3904707237,school psychologist,requires,pre-referral consultation/intervention
3904707237,school psychologist,requires,monitors student’s response to curriculum modifications
3904707237,school psychologist,requires,performs psycho-educational assessments
3904707237,school psychologist,requires,conducts an evaluation of each student assigned
3904707237,school psychologist,requires,interviews the student
3904707237,school psychologist,requires,observes classroom behaviors
3904397818,network engineer,requires,security and penetration/vulnerability testing
3904397818,network engineer,requires,encryption
3904397818,network engineer,requires,routing protocols
3904397818,network engineer,requires,database security and sql vulnerabilities
3904397818,network engineer,requires,it security best practices
3904397818,network engineer,requires,wide area network infrastructure
3904088432,graduate process engineer,requires,process innovation
3901940214,jr designer,requires,advanced photoshop
3901940214,jr designer,requires,excel
3901940214,jr designer,related_to,photo editing
3901940214,jr designer,related_to,project specification schedules
3901940214,jr designer,related_to,sample library management
3901940214,jr designer,related_to,source and maintain sample materials
3901160358,financial advisor,requires,long-term financial goals
3901160358,financial advisor,related_to,estate strategies
3901160358,financial advisor,related_to,funding education
3904421595,seasonal sales associate,requires,care in communication skills
3902868216,shipping associate,requires,"ability to work nights, weekends, holidays and extended shift hours"
3902868216,shipping associate,requires,"ability to work in hot, wet and/or cold environment (45ºf, 4ºc)"
3905337505,senior genai developer,requires,python
3905337505,senior genai developer,requires,vector databases
3904955779,microstrategy admin,requires,4 years of experience in business intelligence
3904955779,microstrategy admin,related_to,sql query writing
3904955779,microstrategy admin,related_to,sql troubleshooting
3904955779,microstrategy admin,related_to,report failures
3904955779,microstrategy admin,related_to,ldap groups
3903821559,cma supervisor,requires,supervision
3903821559,cma supervisor,requires,new hire training
3903821559,cma supervisor,requires,continued training
3903821559,cma supervisor,requires,process enhancement
3903821559,cma supervisor,requires,productivity goal management
3903821559,cma supervisor,requires,staff management
3903821559,cma supervisor,requires,staff development
3903821559,cma supervisor,requires,staff feedback and coaching
3885813069,auto glass technician trainee,requires,auto glass installation
3885813069,auto glass technician trainee,requires,recalibration of car safety systems
3901983888,executive assistant,requires,collecting information
3901983888,executive assistant,requires,completing projects
3901983888,executive assistant,requires,transcribing
3901983888,executive assistant,requires,inputting
3901983888,executive assistant,requires,editing
3901983888,executive assistant,requires,transmitting text
3901983888,executive assistant,requires,transmitting data
3901983888,executive assistant,requires,completing data base backups
3901983888,executive assistant,requires,recording meeting discussions
3901936703,electrical and instrument supervisor,requires,industrial electrical generation and distribution systems
3901936703,electrical and instrument supervisor,requires,industrial programmable logic control
3901936703,electrical and instrument supervisor,requires,data acquisition systems
3901394579,desktop support engineer,requires,android issues
